qs_2026 Rank,qs_Previous Rank,qs_Institution Name,qs_Country/Territory,qs_Region,qs_Size,qs_Focus,qs_Research,qs_Status,qs_AR SCORE,qs_AR RANK,qs_ER SCORE,qs_ER RANK,qs_FSR SCORE,qs_FSR RANK,qs_CPF SCORE,qs_CPF RANK,qs_IFR SCORE,qs_IFR RANK,qs_ISR SCORE,qs_ISR RANK,qs_ISD SCORE,qs_ISD RANK,qs_IRN SCORE,qs_IRN RANK,qs_EO SCORE,qs_EO RANK,qs_SUS SCORE,qs_SUS RANK,qs_Overall SCORE,qs_2026_rank_original,qs_2026_rank,qs_2026_rank_display,qs_overall_score,qs_overall_score_available,qs_university_key,the_Rank,the_Name,the_Country,the_Student Population,the_Students to Staff Ratio,the_International Students,the_Female to Male Ratio,the_Overall Score,the_Teaching,the_Research Environment,the_Research Quality,the_Industry Impact,the_International Outlook,the_Year,the_rank,the_female_to_male_ratio_clean,the_female_to_male_ratio_original,the_university_key,match_type,match_similarity,country_match,qs_Institution Name_original,the_Name_original,qs_university_key_clean,the_university_key_clean
12.0,15.0,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,42.0,91.4,67.0,83.9,148.0,94.6,76.0,100.0,43.0,93.1,145.0,93.6,121.0,86.9,217.0,87.7,121.0,87.2,88.0,93.7,12,12.0,12,93.7,True,nanyang technological university singapore,31.0,"Nanyang Technological University, Singapore",Singapore,25859.0,17.3,0.31,"1 day, 23:53:00",81.6399999999999,65.8,78.1,95.2,100.0,93.6,2026.0,31.0,47.0,"1 day, 23:53:00",nanyang technological university singapore,exact_name_country,100.0,True,"Nanyang Technological University, Singapore (NTU Singapore)","Nanyang Technological University, Singapore",nanyang technological university singapore,nanyang technological university singapore
14.0,14.0,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,12.0,99.6,17.0,96.2,66.0,99.2,35.0,59.9,391.0,37.3,523.0,27.9,640.0,83.2,290.0,97.0,58.0,70.6,,92.6,14,14.0,14,92.6,True,peking university,13.0,Peking University,China (Mainland),35659.0,11.3,0.15,,92.2815,95.4,97.9,89.0,100.0,67.3,2026.0,13.0,,,peking university,exact_name_country,100.0,True,Peking University,Peking University,peking university,peking university
15.0,11.0,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30.0,98.7,28.0,99.9,29.0,72.0,199.0,96.9,151.0,76.3,249.0,78.6,221.0,89.4,182.0,100.0,4.0,95.0,24.0,92.5,15,15.0,15,92.5,True,university of pennsylvania,14.0,University of Pennsylvania,United States of America,22422.0,6.6,0.26,"2 days, 7:45:00",90.8024999999999,88.1,90.3,96.1,97.9,78.4,2026.0,14.0,55.0,"2 days, 7:45:00",university of pennsylvania,exact_name_country,100.0,True,University of Pennsylvania,University of Pennsylvania,university of pennsylvania,university of pennsylvania
16.0,16.0,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,25.0,98.8,27.0,64.3,276.0,98.0,48.0,57.6,401.0,75.7,251.0,56.4,363.0,93.0,126.0,99.3,24.0,76.8,218.0,91.6,16,16.0,16,91.6,True,cornell university,19.0,Cornell University,United States of America,25673.0,10.6,0.26,"2 days, 5:47:00",89.4589999999999,85.9,90.6,95.9,70.3,83.5,2026.0,19.0,53.0,"2 days, 5:47:00",cornell university,exact_name_country,100.0,True,Cornell University,Cornell University,cornell university,cornell university
17.0,20.0,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16.0,99.7,15.0,97.1,63.0,99.6,26.0,39.5,502.0,31.9,570.0,23.9,707.0,80.4,347.0,97.0,60.0,68.7,,91.2,17,17.0,17,91.2,True,tsinghua university,12.0,Tsinghua University,China (Mainland),38569.0,10.8,0.11,,93.0304999999999,95.9,98.5,93.9,100.0,53.4,2026.0,12.0,,,tsinghua university,exact_name_country,100.0,True,Tsinghua University,Tsinghua University,tsinghua university,tsinghua university
17.0,12.0,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100.0,6.0,100.0,6.0,29.4,643.0,97.2,53.0,95.6,172.0,70.6,273.0,52.6,392.0,96.7,47.0,99.8,17.0,98.8,,91.2,17,17.0,17,91.2,True,university of california berkeley,9.0,"University of California, Berkeley",United States of America,42565.0,18.4,0.25,"2 days, 5:47:00",94.406,87.3,99.0,98.9,99.5,83.9,2026.0,9.0,53.0,"2 days, 5:47:00",university of california berkeley,exact_name_country,100.0,True,"University of California, Berkeley (UCB)","University of California, Berkeley",university of california berkeley,university of california berkeley
21.0,23.0,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,9.0,100.0,7.0,100.0,12.0,64.8,250.0,86.7,247.0,72.7,262.0,75.4,232.0,92.9,131.0,99.8,18.0,82.4,,90.4,21,21.0,21,90.4,True,yale university,10.0,Yale University,United States of America,14884.0,6.2,0.24,"2 days, 5:47:00",94.081,94.6,94.5,97.2,87.6,81.4,2026.0,10.0,53.0,"2 days, 5:47:00",yale university,exact_name_country,100.0,True,Yale University,Yale University,yale university,yale university
22.0,28.0,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60.0,99.7,16.0,70.5,223.0,92.6,90.0,86.3,252.0,98.9,72.0,98.9,63.0,95.9,63.0,57.3,293.0,87.8,,90.2,22,22.0,22,90.2,True,technical university of munich,27.0,Technical University of Munich,Germany,35755.0,40.7,0.45,37 : 63,83.4474999999999,71.9,84.8,91.3,100.0,83.4,2026.0,27.0,37.0,37 : 63,technical university of munich,exact_name_country,100.0,True,Technical University of Munich,Technical University of Munich,technical university of munich,technical university of munich
24.0,32.0,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,51.0,79.2,108.0,100.0,14.0,85.8,118.0,70.8,333.0,94.2,137.0,94.6,113.0,97.4,29.0,84.1,141.0,93.0,35.0,89.7,24,24.0,24,89.7,True,johns hopkins university,16.0,Johns Hopkins University,United States of America,21275.0,5.6,0.34,"2 days, 6:46:00",90.0604999999999,84.6,89.9,96.3,100.0,81.9,2026.0,16.0,54.0,"2 days, 6:46:00",johns hopkins university,exact_name_country,100.0,True,Johns Hopkins University,Johns Hopkins University,johns hopkins university,johns hopkins university
25.0,22.0,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100.0,10.0,99.8,13.0,67.3,253.0,100.0,5.0,12.7,,70.0,280.0,52.2,397.0,82.6,300.0,98.9,28.0,76.0,222.0,89.4,25,25.0,25,89.4,True,princeton university,3.0,Princeton University,United States of America,8739.0,8.2,0.23,"1 day, 23:53:00",97.211,98.2,97.3,99.0,98.0,85.4,2026.0,3.0,47.0,"1 day, 23:53:00",princeton university,exact_name_country,100.0,True,Princeton University,Princeton University,princeton university,princeton university
25.0,18.0,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29.0,94.2,53.0,15.7,,94.3,78.0,99.9,101.0,100.0,18.0,100.0,12.0,95.5,71.0,95.8,70.0,97.6,11.0,89.4,25,25.0,25,89.4,True,the university of sydney,53.0,The University of Sydney,Australia,51531.0,22.4,0.53,,75.06,59.2,67.5,91.5,98.9,88.2,2026.0,53.0,,,the university of sydney,exact_name_country,100.0,True,The University of Sydney,The University of Sydney,the university of sydney,the university of sydney
