Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
1201-1400,1201-1400,Dokuz Eylül Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,9.5,701.0,13.8,701.0,5.9,801.0,3.5,801.0,2.7,801,19.4,738.0,25.6,677.0,51.6,80100%,9.2,801.0,56.8,560=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Doshisha University,Japan,Asia,L,CO,HI,Private not for Profit,11.1,701.0,16.2,701.0,7.0,801.0,2.5,801.0,22.1,685,6.3,801.0,11.6,801.0,18.7,80100%,26.3,620.0,22.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Erciyes Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,6.8,701.0,4.5,701.0,3.7,801.0,11.5,801.0,9.9,801,14.7,801.0,20.8,751.0,53.1,79400%,2.1,801.0,52.3,656=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Feng Chia University,Taiwan,Asia,L,FO,VH,Private for Profit,12.3,701.0,11.8,701.0,6.4,801.0,11.7,801.0,5.6,801,6.8,801.0,11.0,801.0,10.1,80100%,21.0,707.0,53.9,624=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Fu Jen Catholic University,Taiwan,Asia,L,FC,HI,Private not for Profit,10.6,701.0,10.8,701.0,4.5,801.0,14.9,801.0,13.2,801,8.1,801.0,12.5,801.0,9.3,80100%,35.8,479.0,44.5,801,-,QS,,,,,,,,,,,
1201-1400,,Galgotias University,India,Asia,L,CO,HI,Private not for Profit,16.6,701.0,4.6,701.0,36.2,553.0,3.2,801.0,21.1,696,15.0,801.0,18.1,793.0,16.9,80100%,3.3,801.0,,,-,QS,,,,,,,,,,,
1201-1400,1201-1400,German university in Cairo,Egypt,Africa,L,CO,HI,Private not for Profit,11.6,701.0,21.3,617.0,9.8,801.0,3.3,801.0,17.8,750,1.4,801.0,1.3,801.0,20.4,80100%,5.7,801.0,9.5,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Gunma University,Japan,Asia,M,FO,VH,Public,3.8,701.0,2.8,701.0,89.8,104.0,9.0,801.0,5.5,801,5.2,801.0,8.6,801.0,10.5,80100%,1.8,801.0,15.4,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Hanoi University of Science and Technology,Viet Nam,Asia,XL,FO,VH,Public,12.3,701.0,15.9,701.0,3.3,801.0,10.0,801.0,5.7,801,1.5,801.0,5.8,801.0,23.3,80100%,30.8,537.0,51.3,677=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Helwan University,Egypt,Africa,XL,CO,HI,Public,11.0,701.0,15.0,701.0,4.9,801.0,2.6,801.0,1.2,801,3.4,801.0,2.8,801.0,63.6,64200%,20.1,724.0,36.1,801,-,QS,,,,,,,,,,,
1201-1400,,Industrial University of Ho Chi Minh City,Viet Nam,Asia,L,CO,HI,Public,22.6,554.0,15.2,701.0,5.2,801.0,5.0,801.0,1.5,801,2.8,801.0,6.9,801.0,13.1,80100%,6.7,801.0,19.5,801,-,QS,,,,,,,,,,,
1201-1400,,Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,Asia,M,SP,LO,Private not for Profit,22.4,562.0,5.0,701.0,13.2,801.0,1.5,801.0,3.1,801,1.3,801.0,5.7,801.0,3.4,80100%,2.8,801.0,26.9,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Americas,M,FO,MD,Public,1.9,701.0,6.3,701.0,36.2,554.0,2.0,801.0,22.9,674,5.2,801.0,9.2,801.0,7.3,80100%,49.7,348.0,17.6,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,International Christian University,Japan,Asia,S,FO,HI,Private for Profit,6.3,701.0,14.8,701.0,21.5,801.0,1.9,801.0,83.2,269,15.8,800.0,12.0,801.0,6.0,80100%,14.9,801.0,15.5,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,International Islamic University Islamabad (IIU),Pakistan,Asia,L,CO,HI,Public,9.3,701.0,14.3,701.0,5.0,801.0,15.5,795.0,5.7,801,9.6,801.0,13.2,801.0,57.9,71900%,3.3,801.0,28.8,801,-,QS,,,,,,,,,,,
1201-1400,,Islamic Azad University,Iran (Islamic Republic of),Asia,,CO,,,6.1,701.0,5.0,701.0,1.7,801.0,8.5,801.0,,,1.1,801.0,1.1,801.0,96.3,5500%,35.7,482.0,29.4,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Islamic University of Madinah,Saudi Arabia,Asia,L,FO,HI,Public,8.1,701.0,3.5,701.0,7.8,801.0,3.0,801.0,46.5,459,100.0,8.0,100.0,3.0,19.1,80100%,2.6,801.0,7.6,801,-,QS,,,,,,,,,,,
1201-1400,,Islamic University of Technology,Bangladesh,Asia,S,FO,VH,Public,6.5,701.0,15.2,701.0,13.9,801.0,16.2,781.0,5.6,801,25.5,653.0,25.5,680.0,6.0,80100%,5.0,801.0,15.2,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Istanbul Aydin University,Türkiye,Asia,L,FO,HI,Private not for Profit,8.6,701.0,6.2,701.0,19.1,801.0,2.1,801.0,13.6,801,68.6,284.0,71.7,255.0,10.2,80100%,2.4,801.0,32.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Ivan Franko National University of Lviv,Ukraine,Europe,L,CO,HI,Public,9.6,701.0,25.3,533.0,32.8,590.0,1.7,801.0,1.3,801,1.6,801.0,6.0,801.0,13.3,80100%,26.1,622.0,43.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Izmir Yüksek Teknoloji Enstitüsü (IYTE),Türkiye,Asia,S,CO,VH,Public,11.0,701.0,10.8,701.0,8.3,801.0,18.6,742.0,8.7,801,5.2,801.0,9.4,801.0,22.7,80100%,2.4,801.0,38.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Jahangirnagar University,Bangladesh,Asia,L,CO,HI,,12.2,701.0,17.5,701.0,5.7,801.0,9.3,801.0,,,,,,,35.3,80100%,4.5,801.0,33.2,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Jeju National University,Republic of Korea,Asia,M,FC,VH,Public,5.1,701.0,3.4,701.0,44.3,446.0,13.5,801.0,9.4,801,9.3,801.0,13.1,801.0,23.4,80100%,1.8,801.0,53.4,632=,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Kagoshima University,Japan,Asia,M,FC,VH,Public,7.8,701.0,4.7,701.0,69.6,234.0,6.1,801.0,5.1,801,5.0,801.0,4.0,801.0,24.0,80100%,1.6,801.0,23.0,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Kazakh Ablai khan University of International Relations and World Languages,Kazakhstan,Asia,M,SP,LO,Public,10.4,701.0,16.7,701.0,54.1,348.0,1.0,801.0,9.9,801,8.7,801.0,11.8,801.0,1.3,80100%,4.2,801.0,,,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Kharkiv National University of Radio Electronics,Ukraine,Europe,M,SP,HI,Public,3.2,701.0,22.5,591.0,31.1,615.0,2.2,801.0,1.8,801,10.7,801.0,14.9,801.0,12.9,80100%,4.7,801.0,33.3,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,King Mongkut's Institute of Technology Ladkrabang,Thailand,Asia,L,CO,VH,Public,13.5,701.0,11.4,701.0,6.3,801.0,6.1,801.0,31.2,576,4.2,801.0,8.5,801.0,20.2,80100%,10.7,801.0,36.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,King Mongkut's University of Technology North Bangkok,Thailand,Asia,L,FO,VH,Public,13.4,701.0,11.9,701.0,5.3,801.0,7.3,801.0,3.8,801,1.4,801.0,5.8,801.0,31.1,80100%,3.1,801.0,31.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Kwame Nkrumah University of Science and Technology,Ghana,Africa,XL,CO,HI,,10.2,701.0,9.2,701.0,6.0,801.0,3.9,801.0,,,,,,,65.9,61100%,49.9,344.0,42.3,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Kyoto Institute of Technology,Japan,Asia,S,FO,VH,Public,8.0,701.0,6.3,701.0,18.6,801.0,18.7,741.0,15.3,801,13.6,801.0,17.1,801.0,13.2,80100%,1.8,801.0,24.6,801,-,QS,,,,,,,,,,,
1201-1400,,Kyrgyz National University,Kyrgyzstan,Asia,L,CO,LO,Public,14.3,701.0,12.6,701.0,28.4,671.0,1.1,801.0,2.6,801,14.0,801.0,16.2,801.0,4.5,80100%,51.7,327.0,,,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Kyrgyz State Technical University named after I. Razzakov,Kyrgyzstan,Asia,L,SP,LO,Public,16.1,701.0,15.1,701.0,13.9,801.0,1.0,801.0,10.7,801,11.5,801.0,14.2,801.0,1.1,80100%,30.6,542.0,8.5,801,-,QS,,,,,,,,,,,
1201-1400,,Latvia University of Life Sciences and Technologies,Latvia,Europe,S,FO,VH,Public,7.5,701.0,10.1,701.0,5.7,801.0,7.9,801.0,1.8,801,16.5,790.0,19.1,776.0,24.1,80100%,17.7,768.0,35.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Marquette University,United States of America,Americas,M,CO,VH,Private not for Profit,3.6,701.0,3.2,701.0,28.5,669.0,15.2,801.0,8.6,801,5.0,801.0,10.0,801.0,31.7,80100%,27.3,605.0,30.0,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Meiji University,Japan,Asia,XL,FO,HI,Private for Profit,9.4,701.0,24.6,545.0,5.9,801.0,2.5,801.0,14.5,801,8.9,801.0,13.3,801.0,12.6,80100%,29.4,559.0,29.4,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Miami University,United States of America,Americas,L,CO,HI,Public,3.4,701.0,11.8,701.0,8.9,801.0,14.0,801.0,7.0,801,11.1,801.0,8.5,801.0,44.4,80100%,42.5,412.0,37.9,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Nagoya Institute of Technology (NIT),Japan,Asia,M,FO,VH,Public,9.5,701.0,4.4,701.0,11.5,801.0,28.6,599.0,6.9,801,7.8,801.0,6.0,801.0,19.6,80100%,8.6,801.0,18.1,801,-,QS,,,,,,,,,,,
1201-1400,,National Chin-Yi University of Technology,Taiwan,Asia,M,FO,VH,Public,13.0,701.0,16.4,701.0,8.8,801.0,12.9,801.0,3.1,801,20.6,718.0,21.3,745.0,15.6,80100%,2.1,801.0,40.0,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,National Dong Hwa University,Taiwan,Asia,M,CO,HI,Public,16.3,701.0,7.0,701.0,8.6,801.0,8.7,801.0,13.9,801,18.6,750.0,22.2,729.0,10.7,80100%,2.1,801.0,46.9,793=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,National Research University Moscow Power Engineering Institute (MPEI),Russian Federation,Europe,M,FO,VH,Public,6.6,701.0,8.4,701.0,21.9,797.0,2.5,801.0,6.0,801,54.9,379.0,55.1,373.0,15.8,80100%,17.2,778.0,16.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,National Taiwan Ocean University,Taiwan,Asia,M,FO,VH,Public,7.7,701.0,6.3,701.0,16.0,801.0,18.5,745.0,10.2,801,13.9,801.0,16.6,801.0,18.6,80100%,4.1,801.0,55.7,582=,-,QS,,,,,,,,,,,
1201-1400,1001-1200,National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,Europe,S,FO,VH,Public,5.6,701.0,26.8,512.0,57.1,322.0,1.5,801.0,2.6,801,1.3,801.0,5.7,801.0,6.1,80100%,29.9,550.0,16.5,801,-,QS,,,,,,,,,,,
1201-1400,,New Mexico State University,United States of America,Americas,L,CO,VH,,6.6,701.0,6.8,701.0,13.0,801.0,21.3,695.0,10.4,801,10.0,801.0,7.7,801.0,38.6,80100%,10.8,801.0,43.0,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Novosibirsk State Technical University,Russian Federation,Europe,L,FO,VH,Public,5.7,701.0,11.1,701.0,27.7,686.0,2.8,801.0,2.0,801,56.7,366.0,55.2,372.0,11.6,80100%,7.3,801.0,15.2,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Odessa I.I.Mechnikov National University,Ukraine,Europe,M,FO,HI,Public,3.9,701.0,6.3,701.0,70.5,224.0,1.6,801.0,2.2,801,6.1,801.0,10.1,801.0,12.9,80100%,16.8,790.0,15.5,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,"Osmania University, Hyderabad",India,Asia,M,CO,VH,Public,6.0,701.0,6.2,701.0,5.0,801.0,35.1,523.0,,,9.3,801.0,7.1,801.0,25.2,80100%,16.3,801.0,20.5,801,-,QS,,,,,,,,,,,
1201-1400,,Ozyegin University,Türkiye,Asia,M,FO,VH,Private not for Profit,6.6,701.0,16.1,701.0,10.2,801.0,10.1,801.0,14.7,801,33.5,552.0,38.7,510.0,18.4,80100%,2.6,801.0,45.1,801,-,QS,,,,,,,,,,,
1201-1400,,Palestine Technical University - Kadoorie,Palestine,Asia,S,CO,HI,Public,9.4,701.0,9.1,701.0,29.8,637.0,3.5,801.0,66.5,351,16.4,791.0,17.5,801.0,18.0,80100%,12.0,801.0,6.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Pondicherry University,India,Asia,M,CO,VH,Public,5.1,701.0,3.4,701.0,7.4,801.0,33.4,545.0,2.3,801,1.6,801.0,6.0,801.0,34.7,80100%,3.2,801.0,47.1,785=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Pontificia Universidade Católica do Rio Grande do Sul,Brazil,Americas,M,FC,HI,Private not for Profit,8.7,701.0,6.0,701.0,18.4,801.0,19.9,714.0,3.2,801,2.2,801.0,6.6,801.0,19.8,80100%,11.7,801.0,28.5,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Portland State University,United States of America,Americas,L,CO,VH,Public,4.9,701.0,2.6,701.0,14.8,801.0,15.7,789.0,2.1,801,10.8,801.0,8.3,801.0,42.3,80100%,16.5,796.0,47.0,789=,-,QS,,,,,,,,,,,
1201-1400,,Pratt Institute,United States of America,Americas,M,FO,HI,Private not for Profit,6.9,701.0,7.0,701.0,47.5,413.0,1.7,801.0,7.5,801,95.6,120.0,71.1,262.0,2.1,80100%,7.1,801.0,10.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Pukyong National University,Republic of Korea,Asia,L,CO,VH,Public,9.4,701.0,6.0,701.0,21.2,801.0,13.6,801.0,6.6,801,13.9,801.0,10.6,801.0,33.9,80100%,1.7,801.0,58.6,530=,-,QS,,,,,,,,,,,
1201-1400,951-1000,"Queen Margaret University , Edinburgh",United Kingdom,Europe,M,FO,HI,Public,4.3,701.0,6.5,701.0,6.3,801.0,19.1,729.0,68.4,341,67.4,293.0,70.6,265.0,3.5,80100%,1.0,801.0,18.6,801,-,QS,,,,,,,,,,,
1201-1400,,Riphah International University,Pakistan,Asia,L,CO,HI,Private not for Profit,13.8,701.0,8.2,701.0,26.2,712.0,6.4,801.0,2.2,801,1.5,801.0,5.9,801.0,51.8,80100%,3.2,801.0,32.3,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Saint-Petersburg Electrotechnical University LETI,Russian Federation,Europe,M,FO,VH,Public,4.8,701.0,6.3,701.0,51.9,363.0,3.0,801.0,5.6,801,56.2,371.0,58.5,349.0,15.9,80100%,7.3,801.0,26.4,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,Asia,M,FO,HI,Private not for Profit,10.2,701.0,18.0,701.0,42.2,475.0,1.5,801.0,23.5,669,9.4,801.0,12.5,801.0,3.6,80100%,4.2,801.0,36.7,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Samara National Research University (Samara University),Russian Federation,Europe,M,CO,VH,Public,4.0,701.0,3.7,701.0,74.6,199.0,3.2,801.0,2.9,801,22.3,696.0,27.1,652.0,19.5,80100%,13.2,801.0,30.6,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Sathyabama Institute of Science and Technology,India,Asia,L,CO,VH,Private not for Profit,11.0,701.0,10.4,701.0,27.0,698.0,9.4,801.0,7.5,801,6.1,801.0,10.6,801.0,29.5,80100%,1.7,801.0,51.0,680=,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Seattle University,United States of America,Americas,M,CO,HI,Private not for Profit,6.6,701.0,14.0,701.0,40.5,498.0,3.2,801.0,1.7,801,22.1,698.0,28.3,636.0,6.0,80100%,15.3,801.0,42.5,801,-,QS,,,,,,,,,,,
1201-1400,,Selcuk University,Türkiye,Asia,L,CO,VH,Public,7.5,701.0,3.7,701.0,23.7,757.0,7.3,801.0,2.4,801,23.6,682.0,29.7,619.0,53.8,78600%,13.6,801.0,45.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Shanghai International Studies University,China (Mainland),Asia,L,SP,VH,Public,7.2,701.0,6.4,701.0,21.7,801.0,3.3,801.0,33.8,546,40.0,491.0,29.9,618.0,10.8,80100%,9.3,801.0,9.4,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Shanghai University of Finance and Economics,China (Mainland),Asia,L,SP,VH,Public,5.8,701.0,15.1,701.0,12.2,801.0,9.9,801.0,20.4,706,3.6,801.0,8.7,801.0,14.1,80100%,48.0,360.0,32.0,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Shinshu University,Japan,Asia,M,FC,VH,Public,4.7,701.0,4.9,701.0,39.9,507.0,20.2,709.0,6.8,801,4.7,801.0,8.8,801.0,25.2,80100%,3.4,801.0,24.6,801,-,QS,,,,,,,,,,,
1201-1400,,Shiv Nadar University,India,Asia,S,CO,VH,Private for Profit,7.5,701.0,6.1,701.0,42.1,476.0,20.8,701.0,17.4,759,3.2,801.0,7.3,801.0,13.5,80100%,1.8,801.0,30.4,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",India,Asia,L,FO,VH,Private not for Profit,8.2,701.0,5.5,701.0,41.6,485.0,11.4,801.0,3.2,801,4.0,801.0,8.2,801.0,28.7,80100%,1.7,801.0,35.8,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Slovak University of Agriculture in Nitra,Slovakia,Europe,S,SP,HI,Public,8.9,701.0,10.6,701.0,36.7,547.0,15.5,794.0,8.8,801,8.9,801.0,12.3,801.0,28.5,80100%,5.7,801.0,24.9,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Sookmyung Women's University,Republic of Korea,Asia,M,CO,HI,Private for Profit,6.9,701.0,9.7,701.0,46.8,422.0,4.9,801.0,4.8,801,5.0,801.0,9.3,801.0,6.1,80100%,1.9,801.0,39.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Suranaree University of Technology,Thailand,Asia,L,FC,HI,Public,10.2,701.0,6.5,701.0,5.9,801.0,16.7,768.0,7.4,801,2.4,801.0,6.7,801.0,27.3,80100%,3.2,801.0,44.6,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Taibah University,Saudi Arabia,Asia,XL,FC,HI,Public,9.2,701.0,4.3,701.0,7.6,801.0,7.4,801.0,90.6,221,3.6,801.0,8.2,801.0,38.0,80100%,2.5,801.0,32.5,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Tamkang University,Taiwan,Asia,L,CO,HI,Private for Profit,7.8,701.0,9.9,701.0,5.2,801.0,11.0,801.0,8.0,801,11.6,801.0,16.4,801.0,24.6,80100%,35.6,484.0,45.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Tanta University,Egypt,Africa,XL,FC,HI,Public,7.7,701.0,9.8,701.0,7.2,801.0,4.0,801.0,1.5,801,3.0,801.0,7.3,801.0,73.3,48400%,5.7,801.0,48.1,757=,-,QS,,,,,,,,,,,
1201-1400,,Tashkent State Transport University,Uzbekistan,Asia,L,FO,HI,Public,19.3,640.0,10.8,701.0,24.7,740.0,1.3,801.0,3.5,801,2.3,801.0,6.5,801.0,2.0,80100%,9.2,801.0,30.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Technical University of Cluj-Napoca,Romania,Europe,L,SP,VH,Public,5.8,701.0,10.7,701.0,10.5,801.0,8.2,801.0,4.0,801,5.6,801.0,10.1,801.0,46.5,80100%,5.1,801.0,42.1,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Technical University of Liberec,Czechia,Europe,M,CO,VH,Public,5.6,701.0,5.0,701.0,43.9,452.0,9.3,801.0,15.6,789,14.9,801.0,18.7,785.0,28.5,80100%,2.5,801.0,15.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Technische Universität Kaiserslautern,Germany,Europe,L,CO,VH,,8.6,701.0,6.0,701.0,22.2,787.0,7.5,801.0,,,,,,,63.4,64500%,5.4,801.0,,,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Tecnológico de Costa Rica (TEC),Costa Rica,Americas,M,FO,HI,Public,11.2,701.0,24.9,539.0,23.2,770.0,2.1,801.0,9.7,801,3.0,801.0,7.3,801.0,11.1,80100%,11.6,801.0,17.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Europe,L,SP,VH,Public,6.5,701.0,14.5,701.0,3.8,801.0,10.0,801.0,,,8.6,801.0,6.6,801.0,49.3,80100%,5.3,801.0,22.7,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,The Russian Presidential Academy of National Economy and Public Administration,Russian Federation,Europe,XL,FO,VH,Public,5.6,701.0,14.9,701.0,48.4,401.0,1.2,801.0,2.1,801,4.6,801.0,9.3,801.0,21.8,80100%,53.7,312.0,14.3,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,The University of Northampton,United Kingdom,Europe,L,CO,MD,Public,3.4,701.0,3.9,701.0,6.4,801.0,4.4,801.0,51.5,431,93.4,140.0,93.9,116.0,16.8,80100%,5.9,801.0,19.0,801,-,QS,,,,,,,,,,,
1201-1400,1401,"The University of Notre Dame, Australia",Australia,Oceania,M,FC,HI,Private not for Profit,3.4,701.0,5.9,701.0,6.3,801.0,10.2,801.0,53.7,421,21.9,700.0,28.0,637.0,11.5,80100%,1.7,801.0,34.1,801,-,QS,,,,,,,,,,,
1201-1400,,Tishk International University,Iraq,Asia,M,CO,HI,Private for Profit,13.4,701.0,4.0,701.0,8.0,801.0,11.8,801.0,74.2,318,1.6,801.0,5.9,801.0,33.5,80100%,5.9,801.0,17.3,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Tokai University,Japan,Asia,L,FC,HI,Private not for Profit,12.8,701.0,9.0,701.0,18.1,801.0,5.4,801.0,7.7,801,5.3,801.0,4.2,801.0,28.8,80100%,3.4,801.0,34.4,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Tokushima University,Japan,Asia,M,SP,VH,Public,5.4,701.0,3.2,701.0,70.1,231.0,10.2,801.0,3.3,801,3.8,801.0,7.8,801.0,18.2,80100%,6.4,801.0,23.3,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Tomas Bata University in Zlin,Czechia,Europe,M,CO,HI,Public,6.1,701.0,10.3,701.0,13.6,801.0,11.1,801.0,33.1,552,30.7,583.0,35.5,542.0,31.2,80100%,5.1,801.0,26.2,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Transilvania University of Brasov,Romania,Europe,L,FC,HI,Public,9.0,701.0,10.2,701.0,8.4,801.0,7.1,801.0,5.0,801,3.8,801.0,8.9,801.0,69.6,53800%,5.3,801.0,32.2,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Tunghai University,Taiwan,Asia,L,FO,VH,Private for Profit,10.1,701.0,9.2,701.0,6.7,801.0,13.1,801.0,13.5,801,17.8,765.0,21.7,735.0,28.2,80100%,21.9,696.0,47.5,774=,-,QS,,,,,,,,,,,
1201-1400,,UCAM Universidad Católica San Antonio de Murcia,Spain,Europe,L,FO,VH,,9.6,701.0,5.6,701.0,9.9,801.0,7.5,801.0,14.6,801,43.8,460.0,49.0,425.0,23.9,80100%,1.8,801.0,41.4,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Universidad Autónoma Chapingo,Mexico,Americas,M,FO,VH,Public,4.1,701.0,4.2,701.0,77.6,178.0,2.1,801.0,8.7,801,1.3,801.0,1.2,801.0,6.4,80100%,13.0,801.0,16.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Universidad Autónoma de Guadalajara,Mexico,Americas,M,FC,MD,Private for Profit,10.3,701.0,5.2,701.0,28.7,665.0,1.2,801.0,45.7,464,23.6,681.0,17.8,801.0,2.4,80100%,2.1,801.0,7.3,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Universidad Autónoma de Nuevo León (UANL),Mexico,Americas,XL,FC,HI,Public,20.9,593.0,10.7,701.0,3.1,801.0,2.9,801.0,4.0,801,1.3,801.0,1.2,801.0,39.1,80100%,18.4,750.0,43.7,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Universidad Autónoma del Estado de Hidalgo,Mexico,Americas,XL,FC,MD,Public,3.6,701.0,8.3,701.0,51.7,366.0,1.9,801.0,2.6,801,2.9,801.0,7.2,801.0,13.3,80100%,2.3,801.0,41.8,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Universidad Autónoma del Estado de México,Mexico,Americas,XL,FC,MD,Public,23.0,547.0,12.8,701.0,7.5,801.0,2.0,801.0,3.9,801,1.7,801.0,6.1,801.0,15.6,80100%,2.1,801.0,39.8,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Universidad Católica del Norte,Chile,Americas,M,FC,HI,Private not for Profit,5.7,701.0,5.0,701.0,10.9,801.0,9.3,801.0,21.9,688,8.5,801.0,6.5,801.0,45.0,80100%,2.5,801.0,53.0,646=,-,QS,,,,,,,,,,,
1201-1400,901-950,Universidad Central Marta Abreu de Las Villas,Cuba,Americas,M,CO,HI,Public,4.8,701.0,2.0,701.0,99.9,28.0,1.6,801.0,1.1,801,1.6,801.0,1.4,801.0,9.4,80100%,26.5,616.0,10.2,801,-,QS,,,,,,,,,,,
1201-1400,,Universidad Cientifica del Sur,Peru,Americas,L,FC,MD,Private for Profit,6.1,701.0,6.8,701.0,68.3,244.0,1.7,801.0,4.2,801,1.3,801.0,5.7,801.0,14.8,80100%,4.8,801.0,30.1,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Universidad de la Frontera (UFRO),Chile,Americas,M,CO,VH,Public,14.4,701.0,7.5,701.0,6.5,801.0,19.2,726.0,3.1,801,1.7,801.0,1.5,801.0,44.0,80100%,2.7,801.0,32.3,801,-,QS,,,,,,,,,,,
1201-1400,1201-1400,Universidad de Las Américas (UDLA) Ecuador,Ecuador,Americas,L,CO,HI,Private not for Profit,14.4,701.0,8.4,701.0,21.1,801.0,2.6,801.0,24.7,654,5.0,801.0,9.2,801.0,18.3,80100%,7.0,801.0,30.9,801,-,QS,,,,,,,,,,,
1201-1400,1001-1200,Universidad de Lima,Peru,Americas,L,SP,HI,Private not for Profit,14.1,701.0,31.8,450.0,6.8,801.0,1.7,801.0,3.7,801,3.7,801.0,8.1,801.0,11.3,80100%,30.3,548.0,33.9,801,-,QS,,,,,,,,,,,
