Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
40,38,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23.0,96.5,41.0,34.7,568.0,70.9,210.0,98.5,135,79.8,222.0,81.7,191.0,96.6,4800%,84.9,135.0,98.5,5=,85.5,QS,,,,,,,,,,,
41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185.0,99.8,14.0,94.8,76.0,97.3,52.0,99.9,99,99.2,61.0,99.2,50.0,93.0,12500%,99.1,25.0,77.9,198=,85.4,QS,,,,,,,,,,,
42,50,Northwestern University,United States of America,Americas,L,FC,VH,Private not for Profit,92.2,59.0,89.4,74.0,99.1,44.0,71.2,205.0,57.7,399,67.2,295.0,50.0,414.0,86.5,22900%,99.5,20.0,74.4,250=,85.1,QS,,,,,,,,,,,
42,40,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.3,46.0,79.5,105.0,26.5,705.0,94.2,79.0,100.0,60,100.0,28.0,100.0,18.0,97.0,3600%,66.6,233.0,92.5,41,85.1,QS,,,,,,,,,,,
44,47,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,M,FO,VH,Public,89.4,69.0,69.7,149.0,67.5,247.0,100.0,12.0,100.0,23,99.3,59.0,99.0,60.0,49.5,80100%,76.6,173.0,79.7,175=,84.8,QS,,,,,,,,,,,
45,44,University of Michigan-Ann Arbor,United States of America,Americas,XL,FC,VH,Public,99.3,26.0,98.5,30.0,85.7,127.0,54.5,334.0,73.9,320,56.1,372.0,60.3,339.0,96.0,5900%,99.1,26.0,77.2,210=,84.7,QS,,,,,,,,,,,
46,42,"University of California, Los Angeles (UCLA)",United States of America,Americas,XL,FC,VH,Public,100.0,8.0,100.0,8.0,43.6,456.0,84.3,127.0,50.8,437,31.8,571.0,37.7,521.0,93.5,11700%,98.0,46.0,78.0,195=,84.4,QS,,,,,,,,,,,
47,49,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76.0,90.4,71.0,49.1,392.0,84.6,126.0,100.0,68,94.8,128.0,95.1,109.0,93.8,10200%,66.0,235.0,96.3,15=,84.3,QS,,,,,,,,,,,
47,45,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,Public,92.7,56.0,93.8,56.0,64.5,275.0,100.0,13.0,40.9,490,19.1,741.0,14.4,801.0,77.7,38900%,88.2,119.0,82.5,141=,84.3,QS,,,,,,,,,,,
49,47,Zhejiang University,China (Mainland),Asia,XL,FC,VH,Public,87.0,75.0,97.2,36.0,53.0,355.0,100.0,11.0,94.1,189,23.5,683.0,17.7,801.0,94.0,10000%,74.4,185.0,63.0,441=,84,QS,,,,,,,,,,,
50,56,Yonsei University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,91.6,64.0,97.8,34.0,84.3,142.0,67.9,231.0,30.5,582,74.3,258.0,76.7,227.0,78.0,38200%,94.4,78.0,87.7,86,82.9,QS,,,,,,,,,,,
51,54,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,87.3,73.0,89.4,75.0,36.7,546.0,83.2,135.0,90.7,219,95.7,118.0,96.0,100.0,95.3,7400%,63.1,248.0,97.0,12=,82.5,QS,,,,,,,,,,,
52,58,Carnegie Mellon University,United States of America,Americas,L,FC,VH,Private not for Profit,80.1,98.0,94.4,52.0,51.1,370.0,98.6,43.0,52.4,426,98.7,77.0,73.4,245.0,79.2,36400%,79.9,161.0,66.2,375,82.3,QS,,,,,,,,,,,
