university_name,country,year,ranking_source,rank,score
Suranaree University of Technology,Thailand,2026,THE,1492,27.3345
Khulna University,Bangladesh,2026,THE,1493,27.3225
Universidad CatÃ³lica San Antonio de Murcia (UCAM),Spain,2026,THE,1494,27.3155
PoznaÅ„ University of Life Sciences,Poland,2026,THE,1495,27.3064999999999
Hosei University,Japan,2026,THE,1496,27.2985
Tokai University,Japan,2026,THE,1497,27.2909999999999
Botswana International University of Science and Technology (BIUST),Botswana,2026,THE,1498,27.2845
Yokohama National University,Japan,2026,THE,1499,27.269
Tzu Chi University,Taiwan,2026,THE,1500,27.2685
University of La Sabana,Colombia,2026,THE,1501,27.2604999999999
Incheon National University,South Korea,2026,THE,1502,27.2595
Netaji Subhas University of Technology,India,2026,THE,1503,27.235
Qom University of Medical Sciences,Iran,2026,THE,1504,27.2249999999999
Moulay Ismail University,Morocco,2026,THE,1505,27.2165
Technical University of Crete,Greece,2026,THE,1506,27.2024999999999
Chosun University,South Korea,2026,THE,1507,27.1979999999999
Guru Ghasidas Vishwavidyalaya,India,2026,THE,1508,27.1905
Federal University of Technology Akure,Nigeria,2026,THE,1509,27.1869999999999
Federal University of GoiÃ¡s,Brazil,2026,THE,1510,27.1849999999999
Universidad de Cartagena,Colombia,2026,THE,1511,27.1539999999999
Saitama Medical University,Japan,2026,THE,1512,27.1315
Sabzevar University of Medical Sciences,Iran,2026,THE,1513,27.1289999999999
Christ University,India,2026,THE,1514,27.1284999999999
University of Monastir,Tunisia,2026,THE,1515,27.0654999999999
University of GdaÅ„sk,Poland,2026,THE,1516,27.0539999999999
Shahid Sadoughi University of Medical Sciences,Iran,2026,THE,1517,27.0474999999999
Transilvania University of BraÈ™ov,Romania,2026,THE,1518,27.0355
West University of TimiÅŸoara,Romania,2026,THE,1519,27.034
Tokyo Metropolitan University,Japan,2026,THE,1520,27.0239999999999
WrocÅ‚aw University of Environmental and Life Sciences,Poland,2026,THE,1521,27.015
Razi University,Iran,2026,THE,1522,26.9715
University of Macedonia,Greece,2026,THE,1523,26.9159999999999
IPB University,Indonesia,2026,THE,1524,26.9045
SGH Warsaw School of Economics,Poland,2026,THE,1525,26.9009999999999
Universiti Tun Hussein Onn Malaysia (UTHM),Malaysia,2026,THE,1526,26.874
University of Northampton,United Kingdom,2026,THE,1527,26.83
University Cadi Ayyad of Marrakech,Morocco,2026,THE,1528,26.787
UniversitÃ© Saint-Joseph de Beyrouth,Lebanon,2026,THE,1529,26.7855
"Vels Institute of Science, Technology and Advanced Studies (VISTAS)",India,2026,THE,1530,26.771
Federal University of Lavras,Brazil,2026,THE,1531,26.7605
Tunghai University,Taiwan,2026,THE,1532,26.7355
Helwan University,Egypt,2026,THE,1533,26.7265
Medical University of Sofia,Bulgaria,2026,THE,1534,26.7184999999999
Babcock University,Nigeria,2026,THE,1535,26.7054999999999
