University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Al-Farabi Kazakh National University,Kazakhstan,2026,166,163,60.7,Asia,L,FC,HI,Public,1419,20321,4.5,26,61,39,28.4475,30.1,14.6,27.8,24.1,80.4,QS + THE,Matched,TRUE,TRUE
Al-Furat Al-Awsat Technical University,Iraq,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2121,26536,27.5,0,50,50,14.823,11.5,8.6,21.1,19.6,24.3,THE only,THE record not matched in QS,FALSE,TRUE
Al-Hussein Bin Talal University,Jordan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1328,12333,33.2,1,55,45,29.884,10.8,11.6,62.8,18.6,50,THE only,THE record not matched in QS,FALSE,TRUE
Al Jouf University,Saudi Arabia,2026,925.5,825.5,12.6,Asia,M,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Al-Muthanna University,Iraq,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1827,10814,11.8,0,63,37,21.5035,20.2,8.5,32.2,16.3,36.9,THE only,THE record not matched in QS,FALSE,TRUE
Al Nahrain University,Iraq,2026,975.5,-1,8.2,Asia,M,FO,VH,Public,1782,8087,4.7,0,57,43,22.6375,29.7,8.9,28.8,21,24.2,QS + THE,Matched,TRUE,TRUE
Al-Qasim Green University,Iraq,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1560,3914,7,0,32,68,26.2275,22.5,7.9,49.2,16.6,25,THE only,THE record not matched in QS,FALSE,TRUE
Al-Quds University,Palestine,2026,975.5,875.5,10.1,Asia,M,FC,MD,Public,1802,10065,10.9,33,77,23,22.2195,22.9,11,17.8,21.1,81.2,QS + THE,Matched,TRUE,TRUE
Al Zaytoonah University,Jordan,2026,1300.5,-1,5.9,Asia,M,CO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Al-Zaytoonah University of Jordan,Jordan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,928,10003,27.8,24,54,46,36.753,12.5,16.3,75.5,22.4,63.9,THE only,THE record not matched in QS,FALSE,TRUE
Alagappa University,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,966,5428,14.9,0,59,41,36.092,35.6,14.5,56.7,26.5,44.2,THE only,THE record not matched in QS,FALSE,TRUE
Alanya Alaaddin Keykubat University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2056,9049,21.9,7,47,53,16.521,16.4,10.3,20,16.4,27.2,THE only,THE record not matched in QS,FALSE,TRUE
Alberto Hurtado University,Chile,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1894,7276,22,2,58,42,20.1725,15.8,16.6,24.1,16,37.7,THE only,THE record not matched in QS,FALSE,TRUE
Alborz University of Medical Sciences,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,798,3765,11.5,0,54,46,39.124,41.3,12.7,67.1,27,27.3,THE only,THE record not matched in QS,FALSE,TRUE
Alexandria University,Egypt,2026,785.5,825.5,32.7,Africa,XL,FC,VH,Public,980,186461,17.6,7,53,47,35.8275,20.7,18.2,63.5,31.7,55,QS + THE,Matched,TRUE,TRUE
Alexandru Ioan Cuza University,Romania,2026,1100.5,1300.5,11.7,Europe,L,CO,HI,Public,1736,24352,16.9,9,61,39,23.527,22.5,12.2,29.2,41.1,39.3,QS + THE,Matched,TRUE,TRUE
Alfaisal University,Saudi Arabia,2026,825.5,795.5,7.9,Asia,S,FO,VH,Private not for Profit,586,3443,11.3,37,58,42,44.21,24.2,19.5,73.7,50.4,97.2,QS + THE,Matched,TRUE,TRUE
Aligarh Muslim University,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,615,21223,14.7,1,39,61,43.331,41.3,16.8,72.4,37.2,40.9,THE only,THE record not matched in QS,FALSE,TRUE
"Aligarh Muslim University (AMU), Aligarh",India,2026,1100.5,1100.5,15.4,Asia,L,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Allameh Tabataba ’i University,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1544,14319,16.7,3,57,43,26.526,33.2,12.8,32.6,24,30.4,THE only,THE record not matched in QS,FALSE,TRUE
Alma Mater Studiorum - University of Bologna,Italy,2026,138,133,90.6,Europe,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Almaty Technological University,Kazakhstan,2026,1100.5,975.5,5.9,Asia,M,CO,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Altai State University,Russia,2026,875.5,745.5,12.9,Europe,M,CO,VH,Public,1796,9271,18.5,27,56,44,22.3405,23,16.4,17.1,25.3,62.1,QS + THE,Matched,TRUE,TRUE
Altınbaş University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1777,11126,24.2,51,41,59,22.7265,17.6,11.7,30.3,24.1,54.5,THE only,THE record not matched in QS,FALSE,TRUE
Alzahra University,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1666,9275,25.5,2,100,0,24.571,27.3,16.9,28.1,26.6,28.3,THE only,THE record not matched in QS,FALSE,TRUE
