Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
47,49,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76,90.4,71,49.1,392,84.6,126,100.0,68,94.8,128.0,95.1,109.0,93.8,102.0,66.0,235,96.3,15=,84.3,57,Delft University of Technology,Netherlands,21410,14.8,0.35,32 : 68,74.246,64.1,75.1,75.5,100.0,92.1,2026
47,45,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,Public,92.7,56,93.8,56,64.5,275,100.0,13,40.9,490,19.1,741.0,14.4,801.0,77.7,389.0,88.2,119,82.5,141=,84.3,40,Shanghai Jiao Tong University,China,41507,12.5,0.11,36 : 64,77.5695,75.4,79.1,80.2,100.0,57.7,2026
49,47,Zhejiang University,China (Mainland),Asia,XL,FC,VH,Public,87.0,75,97.2,36,53.0,355,100.0,11,94.1,189,23.5,683.0,17.7,801.0,94.0,100.0,74.4,185,63.0,441=,84,39,Zhejiang University,China,54313,13.0,0.14,,78.3135,75.0,78.4,84.3,100.0,55.5,2026
51,54,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,87.3,73,89.4,75,36.7,546,83.2,135,90.7,219,95.7,118.0,96.0,100.0,95.3,74.0,63.1,248,97.0,12=,82.5,80,University of Bristol,United Kingdom,29680,14.2,0.35,"2 days, 8:44:00",69.737,51.4,56.5,94.4,74.6,91.8,2026
52,58,Carnegie Mellon University,United States of America,Americas,L,FC,VH,Private not for Profit,80.1,98,94.4,52,51.1,370,98.6,43,52.4,426,98.7,77.0,73.4,245.0,79.2,364.0,79.9,161,66.2,375,82.3,24,Carnegie Mellon University,United States,16257,13.0,0.5,"1 day, 20:56:00",84.959,72.7,83.0,99.0,85.5,84.3,2026
54,57,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,L,CO,VH,Public,81.2,93,47.5,275,77.1,182,98.7,41,100.0,34,98.8,76.0,97.9,81.0,82.8,296.0,74.1,187,80.8,160,81.2,82,The Hong Kong Polytechnic University,Hong Kong,18636,17.8,0.42,"2 days, 2:50:00",69.6739999999999,51.9,55.4,91.8,86.5,97.3,2026
57,50,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,19,99.3,22,94.3,80,50.9,369,22.9,675,29.2,601.0,35.1,551.0,85.5,247.0,85.9,132,84.0,124=,80.2,61,Kyoto University,Japan,21617,9.0,0.11,25 : 75,73.961,86.4,82.7,56.9,100.0,45.6,2026
60,63,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93.0,53,63.5,169,9.6,801,94.7,75,95.8,166,65.1,307.0,48.5,428.0,99.5,4.0,83.5,143,94.7,25,79.7,46,KU Leuven,Belgium,50336,37.1,0.21,"2 days, 4:48:00",76.8154999999999,61.3,73.8,91.3,100.0,79.2,2026
61,67,Korea University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,89.2,70,95.4,48,77.0,183,68.2,229,24.5,656,64.0,311.0,67.5,287.0,67.7,573.0,93.6,83,85.9,101,79.6,159,Korea University,South Korea,21728,17.5,0.38,,61.406,52.4,51.3,73.3,99.9,67.8,2026
62,61,Duke University,United States of America,Americas,L,FC,VH,Private not for Profit,92.9,54,91.0,68,100.0,7,47.1,402,28.3,602,62.0,326.0,46.2,450.0,90.8,163.0,95.6,73,77.6,205,79,28,Duke University,United States,17871,4.4,0.25,"2 days, 7:45:00",82.9195,78.7,74.2,95.4,100.0,74.2,2026
63,62,City University of Hong Kong,"Hong Kong SAR, China",Asia,M,CO,VH,Public,75.5,109,46.7,284,94.8,75,100.0,2,100.0,16,100.0,5.0,100.0,2.0,64.5,628.0,48.5,356,75.2,232=,78.9,73,City University of Hong Kong,Hong Kong,8219,12.4,0.76,"2 days, 6:46:00",71.1404999999999,56.5,52.7,92.7,100.0,98.4,2026
63,68,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38,94.2,54,38.8,522,70.9,209,25.3,647,59.2,346.0,63.1,313.0,67.1,587.0,100.0,11,88.4,74=,78.9,141,National Taiwan University (NTU),Taiwan,18743,9.7,0.24,"1 day, 20:56:00",62.464,59.4,54.9,68.6,100.0,59.2,2026
