university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
Kaunas University of Technology,Lithuania,2026,THE,1078.0,34.0819999999999,kaunas university of technology,lithuania,1078,34.0819999999999,50.821917808219176,27.074235807860152
Universidad Peruana Cayetano Heredia,Peru,2026,THE,1079.0,34.0635,universidad peruana cayetano heredia,peru,1079,34.0635,50.77625570776255,27.05319778020378
Universiti Sultan Zainal Abidin,Malaysia,2026,THE,1080.0,34.0614999999999,universiti sultan zainal abidin,malaysia,1080,34.0614999999999,50.73059360730594,27.05092339883541
Shaqra University,Saudi Arabia,2026,THE,1081.0,34.0595,shaqra university,saudi arabia,1081,34.0595,50.68493150684932,27.048649017467252
University of Oviedo,Spain,2026,THE,1082.0,34.0575,university of oviedo,spain,1082,34.0575,50.63926940639269,27.04637463609898
Hangzhou Normal University,China,2026,THE,1083.0,34.0539999999999,hangzhou normal university,china,1083,34.0539999999999,50.593607305936075,27.0423944687044
Technical University of Madrid,Spain,2026,THE,1084.0,34.043,technical university of madrid,spain,1084,34.043,50.54794520547945,27.02988537117904
University of Alicante,Spain,2026,THE,1085.0,34.0315,university of alicante,spain,1085,34.0315,50.502283105022826,27.0168076783115
University of Seoul,South Korea,2026,THE,1086.0,34.015,university of seoul,south korea,1086,34.015,50.456621004566216,26.998044032023294
Kumamoto University,Japan,2026,THE,1087.0,33.9539999999999,kumamoto university,japan,1087,33.9539999999999,50.41095890410959,26.92867540029101
Tashkent State Technical University,Uzbekistan,2026,THE,1088.0,33.938,tashkent state technical university,uzbekistan,1088,33.938,50.36529680365297,26.910480349344983
Chungnam National University,South Korea,2026,THE,1089.0,33.9375,chungnam national university,south korea,1089,33.9375,50.31963470319635,26.909911754002913
University of la Costa,Colombia,2026,THE,1090.0,33.9255,university of la costa,colombia,1090,33.9255,50.273972602739725,26.896265465793306
Ä°stinye University,Turkey,2026,THE,1091.0,33.9124999999999,ä°stinye university,turkey,1091,33.9124999999999,50.2283105022831,26.881481986899452
Edge Hill University,United Kingdom,2026,THE,1092.0,33.866,edge hill university,united kingdom,1092,33.866,50.18264840182648,26.828602620087338
Jaypee University of Information Technology,India,2026,THE,1093.0,33.8535,jaypee university of information technology,india,1093,33.8535,50.136986301369866,26.81438773653566
University of the Aegean,Greece,2026,THE,1094.0,33.8494999999999,university of the aegean,greece,1094,33.8494999999999,50.09132420091325,26.809838973799017
University of Bedfordshire,United Kingdom,2026,THE,1095.0,33.808,university of bedfordshire,united kingdom,1095,33.808,50.045662100456624,26.76264556040757
Beni-Suef University,Egypt,2026,THE,1096.0,33.79,beni-suef university,egypt,1096,33.79,50.0,26.74217612809316
Taiz University,Yemen,2026,THE,1097.0,33.781,taiz university,yemen,1097,33.781,49.954337899543376,26.731941411935956
Khulna University of Engineering and Technology (KUET),Bangladesh,2026,THE,1098.0,33.758,khulna university of engineering and technology (kuet),bangladesh,1098,33.758,49.90867579908676,26.70578602620088
University of Okara,Pakistan,2026,THE,1099.0,33.7339999999999,university of okara,pakistan,1099,33.7339999999999,49.86301369863014,26.67849344978155
