university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,rank_numeric,score_original,score_numeric,rank_normalized,score_normalized
National Research Nuclear University MEPhI,Russian Federation,2026,THE,702.0,41.4345,national research nuclear university mephi,russian federation,702,702.0,41.4345,41.4345,67.99086757990868,34.72850678733032
Iran University of Medical Sciences,Iran,2026,THE,703.0,41.4344999999999,iran university of medical sciences,iran,703,703.0,41.4344999999999,41.4344999999999,67.94520547945206,34.728506787330204
Xidian University,China,2026,THE,704.0,41.434,xidian university,china,704,704.0,41.434,41.434,67.89954337899543,34.72794953525176
The University of Texas at San Antonio,United States,2026,THE,705.0,41.4225,the university of texas at san antonio,united states,705,705.0,41.4225,41.4225,67.85388127853881,34.71513273744511
University of New Brunswick UNB,Canada,2026,THE,706.0,41.421,university of new brunswick unb,canada,706,706.0,41.421,41.421,67.8082191780822,34.71346098120946
Golestan University,Iran,2026,THE,707.0,41.3454999999999,golestan university,iran,707,707.0,41.3454999999999,41.3454999999999,67.76255707762557,34.629315917348265
Shiraz University of Medical Sciences,Iran,2026,THE,708.0,41.312,shiraz university of medical sciences,iran,708,708.0,41.312,41.312,67.71689497716895,34.5919800280855
University of Insubria,Italy,2026,THE,709.0,41.306,university of insubria,italy,709,709.0,41.306,41.306,67.67123287671232,34.585293003142894
"University of Maryland, Baltimore County",United States,2026,THE,710.0,41.2795,"university of maryland, baltimore county",united states,710,710.0,41.2795,41.2795,67.6255707762557,34.55575864297973
TecnolÃ³gico de Monterrey,Mexico,2026,THE,711.0,41.0834999999999,tecnolã³gico de monterrey,mexico,711,711.0,41.0834999999999,41.0834999999999,67.57990867579909,34.33731582818793
Indian Institute of Technology Patna,India,2026,THE,712.0,41.061,indian institute of technology patna,india,712,712.0,41.061,41.061,67.53424657534246,34.312239484653276
London South Bank University,United Kingdom,2026,THE,713.0,41.0239999999999,london south bank university,united kingdom,713,713.0,41.0239999999999,41.0239999999999,67.48858447488585,34.271002830840445
Rovira i Virgili University,Spain,2026,THE,714.0,40.9679999999999,rovira i virgili university,spain,714,714.0,40.9679999999999,40.9679999999999,67.44292237442923,34.20859059804282
Bar-Ilan University,Israel,2026,THE,715.0,40.939,bar-ilan university,israel,715,715.0,40.939,40.939,67.3972602739726,34.17626997748702
University of Hertfordshire,United Kingdom,2026,THE,716.0,40.8465,university of hertfordshire,united kingdom,716,716.0,40.8465,40.8465,67.35159817351598,34.07317834295522
Chitkara University,India,2026,THE,717.0,40.8105,chitkara university,india,717,717.0,40.8105,40.8105,67.30593607305936,34.0330561932996
Cyprus International University,Northern Cyprus,2026,THE,718.0,40.8025,cyprus international university,northern cyprus,718,718.0,40.8025,40.8025,67.26027397260273,34.0241401600428
Urmia University of Medical Sciences,Iran,2026,THE,719.0,40.7795,urmia university of medical sciences,iran,719,719.0,40.7795,40.7795,67.21461187214612,33.99850656442948
Yarmouk University,Jordan,2026,THE,720.0,40.7555,yarmouk university,jordan,720,720.0,40.7555,40.7555,67.1689497716895,33.97175846465907
Worcester Polytechnic Institute,United States,2026,THE,721.0,40.711,worcester polytechnic institute,united states,721,721.0,40.711,40.711,67.12328767123287,33.9221630296681
Obuda University,Hungary,2026,THE,722.0,40.6819999999999,obuda university,hungary,722,722.0,40.6819999999999,40.6819999999999,67.07762557077626,33.88984240911208
Federal University of Rio de Janeiro,Brazil,2026,THE,723.0,40.681,federal university of rio de janeiro,brazil,723,723.0,40.681,40.681,67.03196347031964,33.88872790495508
University of Beira Interior,Portugal,2026,THE,724.0,40.655,university of beira interior,portugal,724,724.0,40.655,40.655,66.98630136986301,33.85975079687047
University of the West of Scotland,United Kingdom,2026,THE,725.0,40.6265,university of the west of scotland,united kingdom,725,725.0,40.6265,40.6265,66.94063926940639,33.82798742839311
Ã‰cole des Mines de Saint-Ã‰tienne,France,2026,THE,726.0,40.6164999999999,ã‰cole des mines de saint-ã‰tienne,france,726,726.0,40.6164999999999,40.6164999999999,66.89497716894978,33.816842386821996
Kadir Has University,Turkey,2026,THE,727.0,40.5655,kadir has university,turkey,727,727.0,40.5655,40.5655,66.84931506849315,33.760002674809975
Kobe University,Japan,2026,THE,728.0,40.556,kobe university,japan,728,728.0,40.556,40.556,66.80365296803653,33.74941488531752
Air University,Pakistan,2026,THE,729.0,40.54,air university,pakistan,729,729.0,40.54,40.54,66.7579908675799,33.731582818803915
Jouf University,Saudi Arabia,2026,THE,730.0,40.5015,jouf university,saudi arabia,730,730.0,40.5015,40.5015,66.71232876712328,33.688674408755546
Malaviya National Institute of Technology,India,2026,THE,731.0,40.4325,malaviya national institute of technology,india,731,731.0,40.4325,40.4325,66.66666666666666,33.61177362191561
SRUC (Scotlandâ€™s Rural College),United Kingdom,2026,THE,732.0,40.4,sruc (scotlandâ€™s rural college),united kingdom,732,732.0,40.4,40.4,66.62100456621005,33.57555223680984
Louisiana State University,United States,2026,THE,733.0,40.3665,louisiana state university,united states,733,733.0,40.3665,40.3665,66.57534246575342,33.53821634754698
University of the Basque Country,Spain,2026,THE,734.0,40.3505,university of the basque country,spain,734,734.0,40.3505,40.3505,66.52968036529681,33.520384281033365
Shahid Beheshti University of Medical Sciences,Iran,2026,THE,735.0,40.3339999999999,shahid beheshti university of medical sciences,iran,735,735.0,40.3339999999999,40.3339999999999,66.48401826484019,33.501994962441096
New Mexico State University (Main campus),United States,2026,THE,736.0,40.317,new mexico state university (main campus),united states,736,736.0,40.317,40.317,66.43835616438356,33.4830483917705
Mississippi State University,United States,2026,THE,737.0,40.3109999999999,mississippi state university,united states,737,737.0,40.3109999999999,40.3109999999999,66.39269406392694,33.47636136682779
Ben-Gurion University of the Negev,Israel,2026,THE,738.0,40.3075,ben-gurion university of the negev,israel,738,738.0,40.3075,40.3075,66.34703196347031,33.47246060227804
