QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
,,,,,,,,,,1475.0,"University of Health Sciences, Turkey",Turkey,"24,562",6.1,11%,51 : 49,27.6055,45.7,10.6,27.3,17.5,28.8,2026.0,"University of Health Sciences, Turkey",Turkey,2026,THE only,THE record not matched in QS
116,117,University of Helsinki,Finland,Europe,L,CO,VH,Public,74.5,104.0,University of Helsinki,Finland,"22,974",15.8,7%,68 : 32,65.738,50.4,57.3,90.1,70.7,58.6,2026.0,University of Helsinki,Finland,2026,QS + THE,Matched
901-950,851-900,University of Hertfordshire,United Kingdom,Europe,L,CO,HI,Public,5.8,716.0,University of Hertfordshire,United Kingdom,"27,285",19.5,61%,47 : 53,40.8465,18.2,13.2,76.5,44.8,92.1,2026.0,University of Hertfordshire,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,334.0,University of Hohenheim,Germany,"8,480",39.1,15%,57 : 43,52.36149999999999,36.0,36.4,78.4,76.7,61.3,2026.0,University of Hohenheim,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,33.0,University of Hong Kong,Hong Kong,"17,668",17.8,48%,56 : 44,80.46549999999999,68.3,70.8,95.6,96.5,96.6,2026.0,University of Hong Kong,Hong Kong,2026,THE only,THE record not matched in QS
11,17,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,,,,,,,,,,,,,,,The University of Hong Kong,"Hong Kong SAR, China",2026,QS only,QS record not matched in THE
,,,,,,,,,,1656.0,University of Hormozgan,Iran,"3,685",15.4,3%,66 : 34,24.6905,23.2,15.5,33.9,23.1,30.1,2026.0,University of Hormozgan,Iran,2026,THE only,THE record not matched in QS
556,651-660,University of Houston,United States of America,Americas,XL,CO,VH,Public,18.7,459.0,University of Houston,United States,"46,269",24.0,16%,53 : 47,47.691500000000005,33.2,26.2,73.0,68.8,75.3,2026.0,University of Houston,United States,2026,QS + THE,Matched
1001-1200,1001-1200,University of Hradec Kralove,Czechia,Europe,M,FO,VH,Public,5.8,1009.0,University of Hradec Králové,Czechia,"6,300",12.2,3%,63 : 37,35.3195,20.6,15.8,61.7,34.7,63.5,2026.0,University of Hradec Kralove,Czechia,2026,QS + THE,Matched
524,501,University of Huddersfield,United Kingdom,Europe,L,CO,VH,Public,17.9,540.0,University of Huddersfield,United Kingdom,"14,200",19.9,31%,58 : 42,45.4025,25.6,23.9,73.9,51.3,89.3,2026.0,University of Huddersfield,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,1624.0,University of Huelva,Spain,"10,926",13.7,3%,46 : 54,25.305,23.2,16.6,32.6,28.8,36.2,2026.0,University of Huelva,Spain,2026,THE only,THE record not matched in QS
526,516,University of Hull,United Kingdom,Europe,L,FC,HI,Public,13.2,525.0,University of Hull,United Kingdom,"13,250",18.4,35%,55 : 45,45.7105,27.3,23.8,72.9,57.5,87.8,2026.0,University of Hull,United Kingdom,2026,QS + THE,Matched
801-850,801-850,University of Hyderabad,India,Asia,M,FC,VH,Public,17.7,1023.0,University of Hyderabad,India,"5,071",12.7,1%,46 : 54,35.048,42.4,21.6,41.6,48.4,24.8,2026.0,University of Hyderabad,India,2026,QS + THE,Matched
,,,,,,,,,,1968.0,University of Hyogo,Japan,"6,551",12.5,3%,40 : 60,18.4985,21.8,13.3,13.1,59.2,25.5,2026.0,University of Hyogo,Japan,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of Ibadan,Nigeria,Africa,XL,CO,VH,,11.6,942.0,University of Ibadan,Nigeria,"36,851",17.6,0%,50 : 50,36.475,29.6,15.6,63.5,22.1,43.8,2026.0,University of Ibadan,Nigeria,2026,QS + THE,Matched
582,547,University of Iceland,Iceland,Europe,M,CO,VH,,9.6,521.0,University of Iceland,Iceland,"9,343",16.0,13%,69 : 31,45.748,24.6,35.3,69.3,83.1,55.2,2026.0,University of Iceland,Iceland,2026,QS + THE,Matched
1001-1200,1001-1200,University of Idaho,United States of America,Americas,M,CO,VH,Public,3.5,,,,,,,,,,,,,,,University of Idaho,United States,2026,QS only,QS record not matched in THE
70,69,University of Illinois at Urbana-Champaign,United States of America,Americas,XL,FC,VH,Public,91.7,43.0,University of Illinois at Urbana-Champaign,United States,"50,640",18.9,23%,47 : 53,77.072,67.9,80.7,85.3,84.4,62.3,2026.0,University of Illinois at Urbana-Champaign,United States,2026,QS + THE,Matched
334,365,University of Illinois Chicago (UIC),United States of America,Americas,L,FC,VH,Public,48.8,250.0,University of Illinois Chicago,United States,"28,912",11.2,20%,55 : 45,56.374,50.1,35.2,80.1,76.1,57.5,2026.0,University of Illinois Chicago (UIC),United States,2026,QS + THE,Matched
,,,,,,,,,,1232.0,University of Ilorin,Nigeria,"48,498",34.3,0%,50 : 50,31.6695,15.5,12.6,64.8,20.2,42.6,2026.0,University of Ilorin,Nigeria,2026,THE only,THE record not matched in QS
,,,,,,,,,,848.0,University of Indonesia,Indonesia,"42,674",8.3,17%,73 : 27,38.02349999999999,45.0,22.0,37.2,60.4,63.9,2026.0,University of Indonesia,Indonesia,2026,THE only,THE record not matched in QS
,,,,,,,,,,332.0,University of Innsbruck,Austria,"13,992",21.5,52%,54 : 46,52.623000000000005,35.7,36.8,69.6,87.8,93.7,2026.0,University of Innsbruck,Austria,2026,THE only,THE record not matched in QS
,,,,,,,,,,709.0,University of Insubria,Italy,"9,546",23.1,5%,56 : 44,41.306,19.0,23.7,79.3,48.7,41.2,2026.0,University of Insubria,Italy,2026,THE only,THE record not matched in QS
,,,,,,,,,,533.0,University of International Business and Economics,China,"15,343",14.2,12%,73 : 27,45.62399999999999,29.2,19.0,87.3,31.5,54.0,2026.0,University of International Business and Economics,China,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,University of International Business and Economics,China (Mainland),Asia,L,SP,VH,Public,3.3,,,,,,,,,,,,,,,University of International Business and Economics,China (Mainland),2026,QS only,QS record not matched in THE
1001-1200,1001-1200,University of Ioannina,Greece,Europe,XL,FC,HI,,9.4,1335.0,University of Ioannina,Greece,"33,322",38.1,3%,54 : 46,29.763,16.9,15.7,50.5,52.8,39.5,2026.0,University of Ioannina,Greece,2026,QS + THE,Matched
530,596,University of Iowa,United States of America,Americas,L,FC,VH,Public,25.5,309.0,University of Iowa,United States,"28,383",11.0,5%,55 : 45,53.7415,46.8,34.3,74.9,89.9,52.3,2026.0,University of Iowa,United States,2026,QS + THE,Matched
,,,,,,,,,,1215.0,University of Isfahan,Iran,"17,094",22.6,5%,58 : 42,31.8805,29.0,18.3,46.8,38.9,32.3,2026.0,University of Isfahan,Iran,2026,THE only,THE record not matched in QS
1001-1200,,University of Isfahan,Iran (Islamic Republic of),Asia,L,CO,VH,Public,7.7,,,,,,,,,,,,,,,University of Isfahan,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,827.0,University of Jaén,Spain,"13,280",13.9,10%,58 : 42,38.48649999999999,23.9,20.7,67.0,39.2,50.2,2026.0,University of Jaén,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1208.0,University of Jeddah,Saudi Arabia,"30,321",16.0,2%,67 : 33,32.0265,16.8,11.0,59.1,21.2,70.7,2026.0,University of Jeddah,Saudi Arabia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1374.0,University of Jendouba,Tunisia,"12,953",21.4,0%,71 : 29,29.058,19.2,23.2,37.1,51.4,46.4,2026.0,University of Jendouba,Tunisia,2026,THE only,THE record not matched in QS
,,,,,,,,,,2110.0,University of Jijel,Algeria,"22,568",21.1,0%,70 : 30,15.098,15.9,8.7,15.5,17.3,33.9,2026.0,University of Jijel,Algeria,2026,THE only,THE record not matched in QS
308,312,University of Johannesburg,South Africa,Africa,L,CO,VH,Public,25.5,388.0,University of Johannesburg,South Africa,"32,659",26.5,14%,56 : 44,50.20249999999999,29.5,38.4,69.9,81.1,82.0,2026.0,University of Johannesburg,South Africa,2026,QS + THE,Matched
324,368,University of Jordan,Jordan,Asia,XL,FC,HI,Public,47.9,639.0,The University of Jordan,Jordan,"23,745",12.2,26%,63 : 37,42.6115,32.0,19.5,67.2,41.6,75.9,2026.0,University of Jordan,Jordan,2026,QS + THE,Matched
,,,,,,,,,,1455.0,University of Jos,Nigeria,"37,605",23.6,0%,47 : 53,27.9935,15.3,8.6,55.9,18.4,46.4,2026.0,University of Jos,Nigeria,2026,THE only,THE record not matched in QS
498,489,University of Jyväskylä,Finland,Europe,M,FO,VH,Public,23.4,444.0,University of Jyväskylä,Finland,"11,150",13.1,4%,64 : 36,48.1555,31.9,34.4,77.2,49.1,48.6,2026.0,University of Jyväskylä,Finland,2026,QS + THE,Matched
465,452,University of Kansas,United States of America,Americas,L,FC,VH,Public,17.6,375.0,University of Kansas,United States,"23,777",9.0,7%,54 : 46,50.63199999999999,45.4,29.8,70.7,79.3,56.2,2026.0,University of Kansas,United States,2026,QS + THE,Matched
1001-1200,1001-1200,University of Karachi,Pakistan,Asia,XL,CO,HI,Public,14.5,1840.0,University of Karachi,Pakistan,"47,940",39.8,0%,62 : 38,21.2985,16.2,11.1,28.8,28.2,47.1,2026.0,University of Karachi,Pakistan,2026,QS + THE,Matched
,,,,,,,,,,1029.0,University of Kashan,Iran,"8,035",23.4,26%,45 : 55,34.951,18.6,18.0,64.2,34.6,48.0,2026.0,University of Kashan,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,2006.0,University of Kelaniya,Sri Lanka,"19,766",17.2,3%,66 : 34,17.6965,17.0,8.4,23.2,19.7,33.3,2026.0,University of Kelaniya,Sri Lanka,2026,THE only,THE record not matched in QS
397,380,University of Kent,United Kingdom,Europe,L,CO,VH,Public,20.2,438.0,University of Kent,United Kingdom,"15,680",17.0,28%,54 : 46,48.4195,29.5,28.4,73.2,64.4,92.6,2026.0,University of Kent,United Kingdom,2026,QS + THE,Matched
781-790,791-800,University of Kentucky,United States of America,Americas,L,FC,VH,Public,15.0,443.0,University of Kentucky,United States,"28,680",11.4,3%,60 : 40,48.318,44.0,29.6,68.8,71.1,43.6,2026.0,University of Kentucky,United States,2026,QS + THE,Matched
,,,,,,,,,,1468.0,University of Kerala,India,"3,615",12.2,5%,71 : 29,27.8105,40.2,20.7,23.8,22.4,25.5,2026.0,University of Kerala,India,2026,THE only,THE record not matched in QS
1201-1400,,University of Kerbala,Iraq,Asia,L,FC,HI,Public,12.8,2049.0,University of Kerbala,Iraq,"25,226",12.4,0%,55 : 45,16.715999999999998,22.3,8.1,16.9,16.4,27.5,2026.0,University of Kerbala,Iraq,2026,QS + THE,Matched
1201-1400,1001-1200,University of Khartoum,Sudan,Africa,L,FO,HI,Public,8.9,,,,,,,,,,,,,,,University of Khartoum,Sudan,2026,QS only,QS record not matched in THE
,,,,,,,,,,361.0,University of Kiel,Germany,"28,860",23.5,9%,54 : 46,51.0545,32.5,33.4,81.8,64.4,62.2,2026.0,University of Kiel,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,2152.0,University of Kirkuk,Iraq,"23,071",13.9,0%,57 : 43,14.0995,16.1,8.1,14.3,16.4,27.4,2026.0,University of Kirkuk,Iraq,2026,THE only,THE record not matched in QS
697,611-620,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,637.0,University of Klagenfurt,Austria,"3,377",8.7,33%,66 : 34,42.63699999999999,34.4,19.6,60.5,49.5,89.0,2026.0,University of Klagenfurt,Austria,2026,QS + THE,Matched
,,,,,,,,,,283.0,University of Konstanz,Germany,"6,767",30.3,14%,58 : 42,55.1525,38.5,42.8,72.9,95.7,75.8,2026.0,University of Konstanz,Germany,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,University of Kufa,Iraq,Asia,XL,FC,HI,Public,7.4,1739.0,University of Kufa,Iraq,"35,860",11.8,0%,59 : 41,23.5005,23.6,9.0,38.1,16.9,24.3,2026.0,University of Kufa,Iraq,2026,QS + THE,Matched
,,,,,,,,,,1037.0,University of Kurdistan,Iran,"10,254",24.9,5%,56 : 44,34.8155,16.1,15.9,70.1,34.5,40.6,2026.0,University of Kurdistan,Iran,2026,THE only,THE record not matched in QS
558,587,University of Kwazulu-Natal,South Africa,Africa,XL,FC,VH,Public,17.9,566.0,University of KwaZulu-Natal,South Africa,"33,675",30.7,2%,62 : 38,44.78549999999999,31.4,37.9,61.5,49.1,54.9,2026.0,University of Kwazulu-Natal,South Africa,2026,QS + THE,Matched
,,,,,,,,,,1090.0,University of la Costa,Colombia,"11,922",28.5,1%,45 : 55,33.9255,11.9,13.1,72.5,17.4,55.6,2026.0,University of la Costa,Colombia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1476.0,University of La Frontera,Chile,"11,481",20.2,1%,50 : 50,27.593,17.8,23.7,35.8,24.1,50.2,2026.0,University of La Frontera,Chile,2026,THE only,THE record not matched in QS
,,,,,,,,,,1127.0,University of La Laguna,Spain,"18,459",12.8,5%,57 : 43,33.2775,23.4,16.1,55.2,36.2,49.3,2026.0,University of La Laguna,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1592.0,University of La Rochelle,France,"7,760",19.8,10%,55 : 45,25.666,19.7,12.6,33.6,30.2,65.5,2026.0,University of La Rochelle,France,2026,THE only,THE record not matched in QS
,,,,,,,,,,1501.0,University of La Sabana,Colombia,"10,316",13.2,2%,57 : 43,27.2605,20.9,11.2,46.2,21.3,41.8,2026.0,University of La Sabana,Colombia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1456.0,University of La Serena,Chile,"7,657",22.4,1%,50 : 50,27.96,14.3,10.3,54.3,17.3,50.3,2026.0,University of La Serena,Chile,2026,THE only,THE record not matched in QS
,,,,,,,,,,2019.0,University of Laghouat,Algeria,"25,934",22.6,0%,48 : 52,17.412499999999998,17.4,8.2,20.5,17.1,40.9,2026.0,University of Laghouat,Algeria,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of Lagos,Nigeria,Africa,XL,CO,HI,,9.4,973.0,University of Lagos,Nigeria,"36,484",22.4,0%,51 : 49,35.991,18.4,20.1,66.7,32.6,45.6,2026.0,University of Lagos,Nigeria,2026,QS + THE,Matched
951-1000,951-1000,University of Lahore,Pakistan,Asia,L,CO,VH,Private not for Profit,17.8,792.0,University of Lahore,Pakistan,"21,224",14.0,4%,39 : 61,39.297,19.8,13.0,81.8,21.4,57.2,2026.0,University of Lahore,Pakistan,2026,QS + THE,Matched
,,,,,,,,,,2117.0,University of Lampung,Indonesia,"27,602",15.6,0%,65 : 35,14.89,15.4,8.5,19.1,17.8,19.2,2026.0,University of Lampung,Indonesia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1064.0,University of Lancashire,United Kingdom,"21,550",15.3,35%,58 : 42,34.3055,18.7,13.4,57.2,38.7,82.6,2026.0,University of Lancashire,United Kingdom,2026,THE only,THE record not matched in QS
,,,,,,,,,,656.0,University of L’Aquila,Italy,"19,246",25.5,6%,53 : 47,42.24699999999999,32.8,22.4,66.6,78.5,39.4,2026.0,University of L’Aquila,Italy,2026,THE only,THE record not matched in QS
,,,,,,,,,,1564.0,University of Las Américas (UDLA),Ecuador,"14,757",11.2,3%,53 : 47,26.1385,20.5,10.2,38.0,25.2,63.0,2026.0,University of Las Américas (UDLA),Ecuador,2026,THE only,THE record not matched in QS
,,,,,,,,,,1248.0,University of Las Palmas de Gran Canaria,Spain,"16,681",18.2,8%,57 : 43,31.3515,21.4,26.9,42.7,32.5,41.7,2026.0,University of Las Palmas de Gran Canaria,Spain,2026,THE only,THE record not matched in QS
801-850,781-790,University of Latvia,Latvia,Europe,M,FC,VH,Public,14.5,1100.0,University of Latvia,Latvia,"11,634",30.9,9%,67 : 33,33.709,20.5,31.3,42.3,52.3,50.7,2026.0,University of Latvia,Latvia,2026,QS + THE,Matched
212,224,University of Lausanne,Switzerland,Europe,L,FO,VH,Public,37.0,125.0,University of Lausanne,Switzerland,"14,241",9.8,23%,,63.7435,44.3,46.1,89.0,99.4,88.4,2026.0,University of Lausanne,Switzerland,2026,QS + THE,Matched
86,82,University of Leeds,United Kingdom,Europe,XL,FC,VH,Public,81.8,118.0,University of Leeds,United Kingdom,"35,600",14.4,39%,60 : 40,64.8795,48.3,50.3,87.2,71.6,93.6,2026.0,University of Leeds,United Kingdom,2026,QS + THE,Matched
326,285,University of Leicester,United Kingdom,Europe,L,FC,VH,Public,29.6,193.0,University of Leicester,United Kingdom,"16,435",14.5,37%,53 : 47,59.204,35.4,34.9,95.9,69.0,94.8,2026.0,University of Leicester,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,1339.0,University of León,Spain,"9,699",10.9,5%,54 : 46,29.6965,24.9,15.9,41.8,61.0,36.8,2026.0,University of León,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1616.0,University of Lethbridge,Canada,"7,219",13.2,16%,,25.398000000000003,20.8,14.7,29.6,41.6,59.4,2026.0,University of Lethbridge,Canada,2026,THE only,THE record not matched in QS
379,396,University of Liege,Belgium,Europe,L,FC,VH,Public,24.4,314.0,University of Liège,Belgium,"22,785",29.7,21%,59 : 41,53.53549999999999,34.8,41.8,72.7,97.5,72.5,2026.0,University of Liege,Belgium,2026,QS + THE,Matched
,,,,,,,,,,1754.0,University of Life Sciences in Lublin,Poland,"6,705",10.2,3%,66 : 34,23.09,24.2,12.0,32.5,23.4,23.8,2026.0,University of Life Sciences in Lublin,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,676.0,University of Lille,France,"78,318",30.6,14%,61 : 39,41.8105,33.6,23.4,58.5,67.0,65.1,2026.0,University of Lille,France,2026,THE only,THE record not matched in QS
401,421,University of Limerick,Ireland,Europe,L,FC,HI,Public,27.9,537.0,University of Limerick,Ireland,"14,691",27.1,18%,52 : 48,45.53,28.6,34.6,61.7,73.1,75.0,2026.0,University of Limerick,Ireland,2026,QS + THE,Matched
801-850,851-900,University of Lincoln,United Kingdom,Europe,L,CO,VH,Public,8.0,646.0,University of Lincoln,United Kingdom,"15,645",15.0,24%,58 : 42,42.45399999999999,20.5,18.5,77.2,34.1,86.9,2026.0,University of Lincoln,United Kingdom,2026,QS + THE,Matched
230,260,University of Lisbon,Portugal,Europe,XL,FC,VH,Public,57.1,426.0,University of Lisbon,Portugal,"50,344",18.1,23%,54 : 46,48.871,31.1,41.8,66.8,75.3,60.3,2026.0,University of Lisbon,Portugal,2026,QS + THE,Matched
147,165,University of Liverpool,United Kingdom,Europe,L,FC,VH,Public,60.7,144.0,University of Liverpool,United Kingdom,"26,770",13.9,33%,55 : 45,62.2175,43.5,42.0,91.2,68.0,95.0,2026.0,University of Liverpool,United Kingdom,2026,QS + THE,Matched
535,596,University of Ljubljana,Slovenia,Europe,XL,FC,VH,Public,29.7,858.0,University of Ljubljana,Slovenia,"37,509",12.8,9%,60 : 40,37.862,27.8,23.8,56.0,69.1,42.6,2026.0,University of Ljubljana,Slovenia,2026,QS + THE,Matched
,,,,,,,,,,951.0,University of Lleida,Spain,"9,739",17.0,9%,59 : 41,36.3145,23.2,20.3,59.6,61.4,43.3,2026.0,University of Lleida,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1567.0,University of Lodz,Poland,"21,312",14.1,10%,61 : 39,26.0305,24.5,18.5,32.6,21.7,37.2,2026.0,University of Lodz,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,1918.0,University of Los Lagos,Chile,"6,923",19.0,0%,62 : 38,19.4375,15.6,14.6,21.0,16.6,48.5,2026.0,University of Los Lagos,Chile,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of Louisville,United States of America,Americas,L,FC,HI,Public,3.9,,,,,,,,,,,,,,,University of Louisville,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1831.0,University of Lucknow,India,"16,650",22.3,3%,51 : 49,21.3705,29.5,10.0,23.2,19.2,27.2,2026.0,University of Lucknow,India,2026,THE only,THE record not matched in QS
381,355,University of Luxembourg,Luxembourg,Europe,M,FO,VH,,13.2,265.0,University of Luxembourg,Luxembourg,"5,718",20.0,52%,53 : 47,55.79699999999999,39.9,39.3,75.1,79.8,92.1,2026.0,University of Luxembourg,Luxembourg,2026,QS + THE,Matched
,,,,,,,,,,147.0,University of Macau,Macao,"12,258",19.4,51%,53 : 47,62.0075,40.2,40.9,92.9,87.0,92.5,2026.0,University of Macau,Macao,2026,THE only,THE record not matched in QS
285,245,University of Macau,"Macao SAR, China",Asia,L,CO,VH,Public,18.5,,,,,,,,,,,,,,,University of Macau,"Macao SAR, China",2026,QS only,QS record not matched in THE
,,,,,,,,,,1523.0,University of Macedonia,Greece,"11,703",56.3,5%,50 : 50,26.916,17.7,18.0,43.8,31.8,27.5,2026.0,University of Macedonia,Greece,2026,THE only,THE record not matched in QS
,,,,,,,,,,1373.0,University of Malaga,Spain,"36,545",13.6,6%,54 : 46,29.086,21.1,17.1,42.1,54.0,41.5,2026.0,University of Malaga,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,853.0,University of Malakand,Pakistan,"8,902",27.1,1%,28 : 72,37.9795,25.6,12.9,70.6,42.6,50.7,2026.0,University of Malakand,Pakistan,2026,THE only,THE record not matched in QS
,,,,,,,,,,244.0,University of Malaya,Malaysia,"18,899",9.7,32%,61 : 39,56.656,47.8,38.8,72.8,65.2,91.4,2026.0,University of Malaya,Malaysia,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,University of Malaysia Sabah (UMS),Malaysia,Asia,L,FC,HI,Public,22.0,,,,,,,,,,,,,,,University of Malaysia Sabah (UMS),Malaysia,2026,QS only,QS record not matched in THE
741-750,751-760,University of Malta,Malta,Europe,M,FC,VH,Public,9.3,926.0,University of Malta,Malta,"9,650",11.8,18%,61 : 39,36.7905,24.9,18.2,61.6,36.8,56.2,2026.0,University of Malta,Malta,2026,QS + THE,Matched
,,,,,,,,,,845.0,University of Management and Technology,Pakistan,"22,028",17.2,2%,49 : 51,38.079,16.5,11.0,83.5,26.6,52.1,2026.0,University of Management and Technology,Pakistan,2026,THE only,THE record not matched in QS
1201-1400,,"University of Management and Technology (UMT), Pakistan",Pakistan,Asia,L,CO,HI,Private not for Profit,7.2,,,,,,,,,,,,,,,"University of Management and Technology (UMT), Pakistan",Pakistan,2026,QS only,QS record not matched in THE
35,34,The University of Manchester,United Kingdom,Europe,XL,FC,VH,Public,98.6,56.0,University of Manchester,United Kingdom,"43,470",14.9,46%,57 : 43,74.9325,61.2,65.9,92.4,74.0,94.5,2026.0,The University of Manchester,United Kingdom,2026,QS + THE,Matched
643,661-670,University of Manitoba,Canada,Americas,L,FC,VH,Public,19.2,564.0,University of Manitoba,Canada,"26,170",13.7,24%,54 : 46,44.837500000000006,29.5,25.1,72.9,61.4,60.4,2026.0,University of Manitoba,Canada,2026,QS + THE,Matched
,,,,,,,,,,206.0,University of Mannheim,Germany,"7,902",36.1,17%,,58.3305,37.0,44.5,85.5,88.2,71.1,2026.0,University of Mannheim,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,1483.0,University of Manouba,Tunisia,"17,341",14.4,2%,58 : 42,27.4745,25.9,9.7,42.1,23.9,45.8,2026.0,University of Manouba,Tunisia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1209.0,University of Maragheh,Iran,"3,719",24.5,9%,59 : 41,32.0125,14.7,17.1,59.6,31.3,47.8,2026.0,University of Maragheh,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,409.0,University of Marburg,Germany,"22,883",29.8,17%,58 : 42,49.5345,37.8,32.1,72.0,70.8,61.9,2026.0,University of Marburg,Germany,2026,THE only,THE record not matched in QS
901-950,901-950,University of Maribor,Slovenia,Europe,L,FC,HI,Public,10.8,1389.0,University of Maribor,Slovenia,"13,082",13.9,14%,55 : 45,28.733,21.5,18.0,41.2,46.2,39.5,2026.0,University of Maribor,Slovenia,2026,QS + THE,Matched
801-850,,"University of Maryland, Baltimore",United States of America,Americas,M,FC,VH,Public,7.6,,,,,,,,,,,,,,,"University of Maryland, Baltimore",United States,2026,QS only,QS record not matched in THE
801-850,771-780,"University of Maryland, Baltimore County",United States of America,Americas,L,FC,HI,Public,13.6,710.0,"University of Maryland, Baltimore County",United States,"12,398",17.8,19%,46 : 54,41.2795,27.5,27.2,61.3,67.6,55.8,2026.0,"University of Maryland, Baltimore County",United States,2026,QS + THE,Matched
207,218,"University of Maryland, College Park",United States of America,Americas,XL,FC,VH,Public,57.2,117.0,"University of Maryland, College Park",United States,"33,483",16.3,10%,50 : 50,64.95249999999999,50.4,58.3,89.1,69.5,48.9,2026.0,"University of Maryland, College Park",United States,2026,QS + THE,Matched
,,,,,,,,,,1936.0,University of Mascara,Algeria,"22,010",22.2,0%,63 : 37,19.0015,15.7,8.0,27.1,17.0,43.2,2026.0,University of Mascara,Algeria,2026,THE only,THE record not matched in QS
,,,,,,,,,,112.0,University of Massachusetts,United States,"62,471",12.8,15%,51 : 49,65.27799999999999,55.0,46.6,87.9,88.6,75.0,2026.0,University of Massachusetts,United States,2026,THE only,THE record not matched in QS
247,275,"University of Massachusetts, Amherst",United States of America,Americas,L,CO,VH,Public,48.1,,,,,,,,,,,,,,,"University of Massachusetts, Amherst",United States,2026,QS only,QS record not matched in THE
951-1000,1001-1200,University of Massachusetts - Boston,United States of America,Americas,L,FC,HI,Public,13.8,,,,,,,,,,,,,,,University of Massachusetts - Boston,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1890.0,University of Mataram,Indonesia,"30,131",22.1,0%,62 : 38,20.2935,11.8,8.4,39.0,17.6,26.3,2026.0,University of Mataram,Indonesia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1344.0,University of Mauritius,Mauritius,"9,108",26.0,7%,58 : 42,29.558,27.5,14.9,42.2,41.3,37.5,2026.0,University of Mauritius,Mauritius,2026,THE only,THE record not matched in QS
771-780,801-850,University of Maynooth,Ireland,Europe,L,FO,VH,Public,16.6,,,,,,,,,,,,,,,University of Maynooth,Ireland,2026,QS only,QS record not matched in THE
,,,,,,,,,,1404.0,University of Mazandaran,Iran,"11,383",24.1,3%,64 : 36,28.5835,26.6,16.2,43.0,25.4,28.3,2026.0,University of Mazandaran,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1889.0,University of Medellín,Colombia,"7,158",16.8,2%,53 : 47,20.3135,18.0,11.4,24.8,23.0,44.5,2026.0,University of Medellín,Colombia,2026,THE only,THE record not matched in QS
,,,,,,,,,,890.0,University of Medicine and Pharmacy Carol Davila,Romania,"12,809",9.2,17%,68 : 32,37.32749999999999,26.1,12.5,73.4,30.2,37.0,2026.0,University of Medicine and Pharmacy Carol Davila,Romania,2026,THE only,THE record not matched in QS
,,,,,,,,,,1192.0,University of Medicine and Pharmacy of Craiova,Romania,"4,578",9.3,14%,70 : 30,32.2155,26.1,10.4,59.4,23.0,36.8,2026.0,University of Medicine and Pharmacy of Craiova,Romania,2026,THE only,THE record not matched in QS
19,13,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,37.0,University of Melbourne,Australia,"51,622",23.3,51%,58 : 42,79.0485,67.7,75.5,87.8,99.3,91.6,2026.0,The University of Melbourne,Australia,2026,QS + THE,Matched
1201-1400,1201-1400,University of Memphis,United States of America,Americas,L,CO,VH,Public,4.1,1027.0,University of Memphis,United States,"15,761",14.3,10%,60 : 40,34.999500000000005,30.1,19.3,48.6,62.7,45.8,2026.0,University of Memphis,United States,2026,QS + THE,Matched
