QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
,,,,,,,,,,2056.0,Alanya Alaaddin Keykubat University,Turkey,"9,049",21.9,7%,47 : 53,16.520999999999997,16.4,10.3,20.0,16.4,27.2,2026.0,Alanya Alaaddin Keykubat University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1894.0,Alberto Hurtado University,Chile,"7,276",22.0,2%,58 : 42,20.1725,15.8,16.6,24.1,16.0,37.7,2026.0,Alberto Hurtado University,Chile,2026,THE only,THE record not matched in QS
,,,,,,,,,,798.0,Alborz University of Medical Sciences,Iran,"3,765",11.5,0%,54 : 46,39.124,41.3,12.7,67.1,27.0,27.3,2026.0,Alborz University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
781-790,801-850,Alexandria University,Egypt,Africa,XL,FC,VH,Public,32.7,980.0,Alexandria University,Egypt,"186,461",17.6,7%,53 : 47,35.8275,20.7,18.2,63.5,31.7,55.0,2026.0,Alexandria University,Egypt,2026,QS + THE,Matched
1001-1200,1201-1400,Alexandru Ioan Cuza University,Romania,Europe,L,CO,HI,Public,11.7,1736.0,Alexandru Ioan Cuza University,Romania,"24,352",16.9,9%,61 : 39,23.526999999999997,22.5,12.2,29.2,41.1,39.3,2026.0,Alexandru Ioan Cuza University,Romania,2026,QS + THE,Matched
801-850,791-800,Alfaisal University,Saudi Arabia,Asia,S,FO,VH,Private not for Profit,7.9,586.0,Alfaisal University,Saudi Arabia,"3,443",11.3,37%,58 : 42,44.21,24.2,19.5,73.7,50.4,97.2,2026.0,Alfaisal University,Saudi Arabia,2026,QS + THE,Matched
,,,,,,,,,,615.0,Aligarh Muslim University,India,"21,223",14.7,1%,39 : 61,43.331,41.3,16.8,72.4,37.2,40.9,2026.0,Aligarh Muslim University,India,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,"Aligarh Muslim University (AMU), Aligarh",India,Asia,L,CO,VH,Public,15.4,,,,,,,,,,,,,,,"Aligarh Muslim University (AMU), Aligarh",India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1544.0,Allameh Tabataba ’i University,Iran,"14,319",16.7,3%,57 : 43,26.526000000000003,33.2,12.8,32.6,24.0,30.4,2026.0,Allameh Tabataba ’i University,Iran,2026,THE only,THE record not matched in QS
138,133,Alma Mater Studiorum - University of Bologna,Italy,Europe,XL,FC,VH,Public,90.6,,,,,,,,,,,,,,,Alma Mater Studiorum - University of Bologna,Italy,2026,QS only,QS record not matched in THE
1001-1200,951-1000,Almaty Technological University,Kazakhstan,Asia,M,CO,MD,Public,5.9,,,,,,,,,,,,,,,Almaty Technological University,Kazakhstan,2026,QS only,QS record not matched in THE
